title,year,authors,venue
Meaningful change detection in structured data,1997,"Sudarshan S. Chawathe, Hector Garcia-Molina",International Conference on Management of Data
"Pattern matching and pattern discovery in scientific, program, and document databases",1995,"Jason T. L. Wang, Kaizhong Zhang, Dennis Shasha",International Conference on Management of Data
PTool: a light weight persistent object manager,1995,"R. L. Grossman, D. Hanley, X. Qin",International Conference on Management of Data
Using the CALANDA time series management system,1995,"Werner Dreyer, Angelika Kotz Dittrich, Duri Schmidt",International Conference on Management of Data
The ECRC multi database system,1995,"Willem Jonker, Heribert Sch&#252;tz",International Conference on Management of Data
Modularization techniques for active rules design,1996,"Elena Baralis, Stefano Ceri, Stefano Paraboschi",ACM Transactions on Database Systems (TODS)
Polymorphism and type inference in database programming,1996,"Peter Buneman, Atsushi Ohori",ACM Transactions on Database Systems (TODS)
A normal form for precisely characterizing redundancy in nested relations,1996,"Wai Yin Mok, Yiu-Kai Ng, David W. Embley",ACM Transactions on Database Systems (TODS)
Magic conditions,1996,"Inderpal Singh Mumick, Sheldon J. Finkelstein, Hamid Pirahesh, Raghu Ramakrishnan",ACM Transactions on Database Systems (TODS)
The building blocks for specifying communication behavior of complex objects: an activity-driven approach,1996,"Ling Liu, Robert Meersman",ACM Transactions on Database Systems (TODS)
Tail recursion elimination in deductive databases,1996,Kenneth A. Ross,ACM Transactions on Database Systems (TODS)
Implementing deductive databases by mixed integer programming,1996,"Colin Bell, Anil Nerode, Raymond T. Ng, V. S. Subrahmanian",ACM Transactions on Database Systems (TODS)
Solving satisfiability and implication problems in database systems,1996,"Sha Guo, Wei Sun, Mark A. Weiss",ACM Transactions on Database Systems (TODS)
Declustering of key-based partitioned signature files,1996,"Paolo Ciaccia, Paolo Tiberio, Pavel Zezula",ACM Transactions on Database Systems (TODS)
A probabilistic relational model and algebra,1996,"Debabrata Dey, Sumit Sarkar",ACM Transactions on Database Systems (TODS)
Heraclitus: elevating deltas to be first-class citizens in a database programming language,1996,"Shahram Ghandeharizadeh, Richard Hull, Dean Jacobs",ACM Transactions on Database Systems (TODS)
Mining quantitative association rules in large relational tables,1996,"Ramakrishnan Srikant, Rakesh Agrawal",International Conference on Management of Data
IDEA: interactive data exploration and analysis,1996,"Peter G. Selfridge, Divesh Srivastava, Lynn O. Wilson",International Conference on Management of Data
"Data mining using two-dimensional optimized association rules: scheme, algorithms, and visualization",1996,"Takeshi Fukuda, Yasukiko Morimoto, Shinichi Morishita, Takeshi Tokuyama",International Conference on Management of Data
SQL query optimization: reordering for a general class of queries,1996,"Piyush Goel, Bala Iyer",International Conference on Management of Data
Rapid bushy join-order optimization with Cartesian products,1996,"Bennet Vance, David Maier",International Conference on Management of Data
A Teradata content-based multimedia object manager for massively parallel architectures,1996,"W. O'Connell, I. T. Ieong, D. Schrader, C. Watson, G. Au, A. Biliris, S. Choo, P. Colin, G. Linderman, E. Panagos, J. Wang, T. Walter",International Conference on Management of Data
Fundamental techniques for order optimization,1996,"David Simmen, Eugene Shekita, Timothy Malkemus",International Conference on Management of Data
Optimizing queries over multimedia repositories,1996,"Surajit Chaudhuri, Luis Gravano",International Conference on Management of Data
Fault-tolerant architectures for continuous media servers,1996,"Banu &#214;zden, Rajeev Rastogi, Prashant Shenoy, Avi Silberschatz",International Conference on Management of Data
On-line reorganization of sparsely-populated B+-trees,1996,"Chendong Zou, Betty Salzberg",International Conference on Management of Data
BIRCH: an efficient data clustering method for very large databases,1996,"Tian Zhang, Raghu Ramakrishnan, Miron Livny",International Conference on Management of Data
Query caching and optimization in distributed mediator systems,1996,"S. Adali, K. S. Candan, Y. Papakonstantinou, V. S. Subrahmanian",International Conference on Management of Data
Two techniques for on-line index modification in shared nothing parallel databases,1996,"Kiran J. Achyutuni, Edward Omiecinski, Shamkant B. Navathe",International Conference on Management of Data
Data access for the masses through OLE DB,1996,Jos&#233; A. Blakeley,International Conference on Management of Data
Performance tradeoffs for client-server query processing,1996,"Michael J. Franklin, Bj&#246;rn Th&#243;r J&#243;nsson, Donald Kossmann",International Conference on Management of Data
Hot mirroring: a method of hiding parity update penalty and degradation during rebuilds for RAID5,1996,"Kazuhiko Mogi, Masaru Kitsuregawa",International Conference on Management of Data
The dangers of replication and a solution,1996,"Jim Gray, Pat Helland, Patrick O'Neil, Dennis Shasha",International Conference on Management of Data
Providing better support for a class of decision support queries,1996,"Sudhir G. Rao, Antonio Badia, Dirk van Gucht",International Conference on Management of Data
"A query language for multidimensional arrays: design, implementation, and optimization techniques",1996,"Leonid Libkin, Rona Machlin, Limsoon Wong",International Conference on Management of Data
Random I/O scheduling in online tertiary storage systems,1996,"Bruce K. Hillyer, Avi Silberschatz",International Conference on Management of Data
Implementing data cubes efficiently,1996,"Venky Harinarayan, Anand Rajaraman, Jeffrey D. Ullman",International Conference on Management of Data
Partition based spatial-merge join,1996,"Jignesh M. Patel, David J. DeWitt",International Conference on Management of Data
Bifocal sampling for skew-resistant join size estimation,1996,"Sumit Ganguly, Phillip B. Gibbons, Yossi Matias, Avi Silberschatz",International Conference on Management of Data
A super scalar sort algorithm for RISC processors,1996,Ramesh C. Agarwal,International Conference on Management of Data
Spatial hash-joins,1996,"Ming-Ling Lo, Chinya V. Ravishankar",International Conference on Management of Data
Structures for manipulating proposed updates in object-oriented databases,1996,"Michael Doherty, Richard Hull, Mohammed Rupawalla",International Conference on Management of Data
Safe and efficient sharing of persistent objects in Thor,1996,"B. Liskov, A. Adya, M. Castro, S. Ghemawat, R. Gruber, U. Maheshwari, A. C. Myers, M. Day, L. Shrira",International Conference on Management of Data
Estimating alphanumeric selectivity in the presence of wildcards,1996,"P. Krishnan, Jeffrey Scott Vitter, Bala Iyer",International Conference on Management of Data
Improved histograms for selectivity estimation of range predicates,1996,"Viswanath Poosala, Peter J. Haas, Yannis E. Ioannidis, Eugene J. Shekita",International Conference on Management of Data
Goal-oriented buffer management revisited,1996,"Kurt P. Brown, Michael J. Carey, Miron Livny",International Conference on Management of Data
Multi-dimensional resource scheduling for parallel queries,1996,"Minos N. Garofalakis, Yannis E. Ioannidis",International Conference on Management of Data
An open abstract-object storage system,1996,"Stephen Blott, Lukas Relly, Hans-J&#246;rg Schek",International Conference on Management of Data
Static detection of security flaws in object-oriented databases,1996,Keishi Tajima,International Conference on Management of Data
Evaluating queries with generalized path expressions,1996,"Vassilis Christophides, Sophie Cluet, Guido Moerkotte",International Conference on Management of Data
Rule languages and internal algebras for rule-based optimizers,1996,"Mitch Cherniack, Stanley B. Zdonik",International Conference on Management of Data
Towards effective and efficient free space management,1996,"Mark L. McAuliffe, Michael J. Carey, Marvin H. Solomon",International Conference on Management of Data
"Semi-automatic, self-adaptive control of garbage collection rates in object databases",1996,"Jonathan E. Cook, Artur W. Klauser, Alexander L. Wolf, Benjamin G. Zorn",International Conference on Management of Data
Maintaining database consistency in presence of value dependencies in multidatabase systems,1996,"Claire Morpain, Mich&#233;le Cart, Jean Ferri&#233;, Jean-Fran&#231;ois Pons",International Conference on Management of Data
Materialized view maintenance and integrity constraint checking: trading space for time,1996,"Kenneth A. Ross, Divesh Srivastava, S. Sudarshan",International Conference on Management of Data
Cost-based optimization for magic: algebra and implementation,1996,"Praveen Seshadri, Joseph M. Hellerstein, Hamid Pirahesh, T. Y. Cliff Leung, Raghu Ramakrishnan, Divesh Srivastava, Peter J. Stuckey, S. Sudarshan",International Conference on Management of Data
Query execution techniques for caching expensive methods,1996,"Joseph M. Hellerstein, Jeffrey F. Naughton",International Conference on Management of Data
A query language and optimization techniques for unstructured data,1996,"Peter Buneman, Susan Davidson, Gerd Hillebrand, Dan Suciu",International Conference on Management of Data
Change detection in hierarchically structured information,1996,"Sudarshan S. Chawathe, Anand Rajaraman, Hector Garcia-Molina, Jennifer Widom",International Conference on Management of Data
A framework for supporting data integration using the materialized and virtual approaches,1996,"Richard Hull, Gang Zhou",International Conference on Management of Data
Algorithms for deferred view maintenance,1996,"Latha S. Colby, Timothy Griffin, Leonid Libkin, Inderpal Singh Mumick, Howard Trickey",International Conference on Management of Data
Guidelines for presentation and comparison of indexing techniques,1996,"Justin Zobel, Alistair Moffat, Kotagiri Ramamohanarao",ACM SIGMOD Record
"Domains, relations and religious wars",1996,R. Camps,ACM SIGMOD Record
Accessing relational databases from the World Wide Web,1996,"Tam Nguyen, V. Srinivasan",International Conference on Management of Data
Is GUI programming a database research problem?,1996,"Nita Goyal, Charles Hoch, Ravi Krishnamurthy, Brian Meckler, Michael Suckow",International Conference on Management of Data
WinMagic: subquery elimination using window aggregation,2003,"Calisto Zuzarte, Hamid Pirahesh, Wenbin Ma, Qi Cheng, Linqi Liu, Kwai Wong",International Conference on Management of Data
Gigascope: a stream database for network applications,2003,"Chuck Cranor, Theodore Johnson, Oliver Spataschek, Vladislav Shkapenyuk",International Conference on Management of Data
SOCQET: semantic OLAP with compressed cube and summarization,2003,"Laks V. S. Lakshmanan, Jian Pei, Yan Zhao",International Conference on Management of Data
CMVF: a novel dimension reduction scheme for efficient indexing in a large image database,2003,"Jialie Shen, Anne H. H. Ngu, John Shepherd, Du Q. Huynh, Quan Z. Sheng",International Conference on Management of Data
Abstracts of invited industrial track presentations,2003,Zachary Ives,International Conference on Management of Data
A comprehensive XQuery to SQL translation using dynamic interval encoding,2003,"David DeHaan, David Toman, Mariano P. Consens, M. Tamer &#214;zsu",International Conference on Management of Data
Integration of electronic tickets and personal guide system for public transport using mobile terminals,2003,"Koichi Goto, Yahiko Kambayashi",International Conference on Management of Data
Multi-dimensional clustering: a new data layout scheme in DB2,2003,"Sriram Padmanabhan, Bishwaranjan Bhattacharjee, Tim Malkemus, Leslie Cranston, Matthew Huras",International Conference on Management of Data
PIX: exact and approximate phrase matching in XML,2003,"Sihem Amer-Yahia, Mary Fern&#225;ndez, Divesh Srivastava, Yu Xu",International Conference on Management of Data
QXtract: a building block for efficient information extraction from text databases,2003,"Eugene Agichtein, Luis Gravano",International Conference on Management of Data
Aurora: a data stream management system,2003,"D. Abadi, D. Carney, U. &#199;etintemel, M. Cherniack, C. Convey, C. Erwin, E. Galvez, M. Hatoun, A. Maskey, A. Rasin, A. Singer, M. Stonebraker, N. Tatbul, Y. Xing, R. Yan, S. Zdonik",International Conference on Management of Data
STREAM: the stanford stream data manager (demonstration description),2003,"Arvind Arasu, Brian Babcock, Shivnath Babu, Mayur Datar, Keith Ito, Itaru Nishizawa, Justin Rosenstein, Jennifer Widom",International Conference on Management of Data
